rank,Song,Artist,Country of origin
1,Elephant (Like a Version),The Wiggles,Australia
2,Stay,The Kid Laroi and Justin Bieber,Australia/Canada
3,Lots of Nothing,Spacey Jane,Australia
4,Good 4 U,Olivia Rodrigo,United States
5,Happier Than Ever,Billie Eilish,United States
6,The Angel of 8th Ave.,Gang of Youths,Australia
7,Kiss Me More,Doja Cat featuring SZA,United States
8,Industry Baby,Lil Nas X and Jack Harlow,United States
9,On My Knees,Rüfüs Du Sol,Australia
10,Montero (Call Me by Your Name),Lil Nas X,United States
11,H.Y.C.Y.BH,Tom Cardy,Australia
12,Lunchtime,Spacey Jane,Australia
13,Drivers License,Olivia Rodrigo,United States
14,Apple Crumble,Lime Cordiale and Idris Elba,Australia/United Kingdom
15,Missing Piece,Vance Joy,Australia
16,Seventeen Going Under,Sam Fender,United Kingdom
17,Mixed Messages,Tom Cardy,Australia
18,Love Signs,The Jungle Giants,Australia
19,Alive,Rüfüs Du Sol,Australia
20,Touch Back Down,Ocean Alley,Australia
21,Sunscreen,Ball Park Music,Australia
22,Good Days,SZA,United States
23,I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,United Kingdom
24,Edamame,bbno$ featuring Rich Brian,Canada/Indonesia
25,Next to Me,Rüfüs Du Sol,Australia
26,Solar Power,Lorde,New Zealand
27,Rose Pink Cadillac,Dope Lemon,Australia
28,Hertz,Amyl and the Sniffers,Australia
29,Thats What I Want,Lil Nas X,United States
30,Here Comes the Sun (Like a Version),Spacey Jane,Australia
31,Need to Know,Doja Cat,United States
32,"If You Ever Leave, I'm Coming with You",The Wombats,United Kingdom
33,Deja Vu,Olivia Rodrigo,United States
34,Get Into It (Yuh),Doja Cat,United States
35,Josh,Peach PRC,Australia
36,Transparent Soul,Willow featuring Travis Barker,United States
37,Woman,Doja Cat,United States
38,Masterpiece,The Rubens,Australia
39,Stacking Chairs,Middle Kids,Australia
40,Serotonin,Girl in Red,Norway
41,What's Not to Like,Lime Cordiale and Idris Elba,Australia/United Kingdom
42,Chemicals,Peking Duk,Australia
43,Die4U,Bring Me the Horizon,United Kingdom
44,Hurricane,Kanye West,United States
45,Chaise Longue,Wet Leg,United Kingdom
46,Get Me Out,King Stingray,Australia
47,Leave the Door Open,Silk Sonic,United States
48,Do It to It,Acraze featuring Cherish,United States
49,Up,Dune Rats,Australia
50,Jail,Kanye West,United States
51,Night Light,The Rions,Australia
52,Up,Cardi B,United States
53,Take My Breath,The Weeknd,Canada
54,Breathe / Comfortably Numb / Money (Like a Version),Ocean Alley,Australia
55,Valhalla,Skegss,Australia
56,Milkumana,King Stingray,Australia
57,The Man Himself,Gang of Youths,Australia
58,Kitchen,Ruby Fields,Australia
59,Love Race,Machine Gun Kelly featuring Kellin Quinn,United States
60,Brutal,Olivia Rodrigo,United States
61,Pump the Brakes,Dom Dolla,Australia
62,Mood Ring,Lorde,New Zealand
63,Chemtrails over the Country Club,Lana Del Rey,United States
64,Queen,G Flip featuring Mxmtoon,Australia/United States
65,Down Under,Luude featuring Colin Hay,Australia
66,A Girl Like You (Like a Version),Tame Impala,Australia
67,Traitor,Olivia Rodrigo,United States
68,Treat You Right,The Jungle Giants,Australia
69,Clarkson,Sly Withers,Australia
70,Like Love,The Amity Affliction,Australia
71,"I Am Not a Woman, I'm a God",Halsey,United States
72,Temper,Vera Blue,Australia
73,Rumors,Lizzo featuring Cardi B,United States
74,Cloudy Day,Tones and I,Australia
75,Gold Chains,Genesis Owusu,Ghana/Australia
76,Our Paradise,The Terrys,Australia
77,WusYaName,"Tyler, the Creator featuring YoungBoy Never Broke Again and Ty Dolla Sign",United States
78,I Hate U,SZA,United States
79,Clash,Dave featuring Stormzy,United Kingdom
80,Your Power,Billie Eilish,United States
81,Stoned at the Nail Salon,Lorde,New Zealand
82,Praise God,Kanye West,United States
83,You Right,Doja Cat and the Weeknd,United States/Canads
84,Wine,Teenage Joans,Australia
85,Lie to Me Again,The Buoys,Australia
86,Just Feels Tight,Fisher,Australia
87,The Aftergone,Holy Holy featuring Clews,Australia
88,My Mind,Baker Boy featuring G Flip,Australia
89,Keep Moving,Jungle,United Kingdom
90,Waiting for Nothing,Hayden James featuring Yaeger,Australia/Sweden
91,Bones,Telenova,Australia
92,Blueprint,Slowly Slowly,Australia
93,Family Ties,Baby Keem and Kendrick Lamar,United States
94,Sunday Suit,Tyne-James Organ,Australia
95,U&Me,alt-J,United Kingdom
96,House of Holy,Client Liaison,Australia
97,Moon,Kanye West,United States
98,Sweetness,Adam Newling,Australia
99,Little Things,Ziggy Ramo featuring Paul Kelly,Australia
100,How You Been,Holy Holy,Australia
