Rank,Song,Artist
100,Brain Freeze,Northeast Party House
99,Hand In My Pocket [triple j Like A Version 2023],The Smith Street Band
98,Dash of Speed,Rum Jungle
97,Salt [Ft. The Grogans],Teen Jesus and the Jean Teasers
96,Running Out Of Time,Paramore
95,The Summoning,Sleep Token
94,RATATA,Skrillex, Missy Elliott & Mr. Oizo
93,Emily I'm Sorry,boygenius
92,Laced Up,Hilltop Hoods
91,Dramamine,Middle Kids
90,Rhythms,Beddy Rays
89,The News,Paramore
88,greedy,Tate McRae
87,Lost In The Rush,Telenova
86,Take What You Want,The Rions
85,Lost The Breakup,Maisie Peters
84,all-american bitch,Olivia Rodrigo
83,Say Yes To Heaven,Lana Del Rey
82,Now U Do,DJ Seinfeld x Confidence Man
81,Strawberry Daydream,Pacific Avenue
80,Messed Up [Ft. Kwame],Holy Holy
79,Trippin Up,The Jungle Giants
78,Iris [Ft. Eaglemont] [triple j Like A Version 2023],Luca Brasi
77,DArkSide,Bring Me The Horizon
76,Sweat You Out My System,MAY-A
75,Pedestal,Lime Cordiale
74,My Love Mine All Mine,Mitski
73,Good Enough,G Flip
72,Blame Brett,The Beaches
71,Flesh,Golden Features
70,Perfect For You,Peach PRC
69,Nightmare,Polaris
68,Gorilla,Little Simz
67,Midnight Driving,Teenage Dads
66,Houdini,Dua Lipa
65,Dance The Night,Dua Lipa
64,Candy Apple,Teenage Joans
63,Stay Blessed,Genesis Owusu
62,Hollywood Baby,100 gecs
61,Bootleg Firecracker,Middle Kids
60,Take It Off,FISHER & Aatig
59,Eat Your Man,Dom Dolla & Nelly Furtado
58,One Of Your Girls,Troye Sivan
57,Video Killed The Radio Star [triple j Like A Version 2023],Teenage Dads
56,Ever,The Vanns
55,Highlands,Middle Kids
54,get him back!,Olivia Rodrigo
53,Imposter Syndrome,Lime Cordiale
52,Sweetheart,Old Mervs
51,Boy's a liar Pt.2,PinkPantheress & Ice Spice
50,Stockholm,DICE
49,Lovin On Me,Jack Harlow
48,Don't Date The Teenager,Gretta Ray
47,LosT,Bring Me The Horizon
46,Lookin' Out,King Stingray
45,MORE THAN YOU KNOW,blink-182
44,Gila Monster,King Gizzard & The Lizard Wizard
43,Welcome To My Island,Caroline Polachek
42,Test Drive,Dulcie
41,A&W,Lana Del Rey
40,I Want You,The Buoys
39,Going Kokomo,Royel Otis
38,Speedracer,Teenage Dads
37,Nothing Matters,The Last Dinner Party
36,Got Me Started,Troye Sivan
35,Spin Me Like Your Records,Pacific Avenue
34,Nothing's Stopping Me Now,Dear Seattle
33,Blue Eyed Boy,Trophy Eyes
32,bad idea right?,Olivia Rodrigo
31,Welcome to the DCC,Nothing But Thieves
30,I Used To Be Fun,Teen Jesus and the Jean Teasers
29,Still Have Room,Hockey Dad
28,Chemical,Post Malone
27,I Miss You [triple j Like A Version 2023],Slowly Slowly
26,Baby again..,Fred again.. x Skrillex x Four Tet
25,Scary Movies,The Rions
24,Sofa King,Royel Otis
23,Atmosphere,FISHER x Kita Alexander
22,Sprinter,Dave & Central Cee
21,Sorry Instead,Spacey Jane
20,Kill Bill,SZA
19,Prada,cassö x RAYE x D-Block Europe
18,Saving Up,Dom Dolla
17,Minivan,The Rions
16,Leaving The Light,Genesis Owusu
15,(It Goes Like) Nanana,Peggy Gou
14,vampire,Olivia Rodrigo
13,Back On 74,Jungle
12,Letting Go,Angie McMahon
11,The Worst Person Alive,G Flip
10,Padam Padam,Kylie Minogue
9,Paint The Town Red,Doja Cat
8,Therapy,Budjerah
7,Green Honda,BENEE
6,adore u,Fred again.. & Obongjayar
5,Rhyme Dust,MK & Dom Dolla
4,What Was I Made For?,Billie Eilish
3,Rumble,Skrillex, Fred again.. & Flowdan
2,Not Strong Enough,boygenius
1,Rush,Troye Sivan
