rank,Song,Artist,Country of origin
1,Bad Guy,Billie Eilish,United States
2,Rushing Back,Flume featuring Vera Blue,Australia
3,Charlie,Mallrat,Australia
4,Dance Monkey,Tones and I,Australia
5,Bulls on Parade (Like a Version),Denzel Curry,United States
6,Drink Too Much,G Flip,Australia
7,Robbery,Lime Cordiale,Australia
8,Heavy Hearted,The Jungle Giants,Australia
9,Better in Blak,Thelma Plum,Australia
10,Exit Sign,Hilltop Hoods featuring Illy and Ecca Vandal,Australia
11,Circles,Post Malone,United States
12,By Myself,Fidlar,United States
13,Inappropriate Behaviour,Lime Cordiale,Australia
14,Purple Hat,Sofi Tukker,Germany/United States
15,Never Seen the Rain,Tones and I,Australia
16,Everything I Wanted,Billie Eilish,United States
17,I Touch Myself (Like a Version),Lime Cordiale,Australia
18,Borderline,Tame Impala,Australia
19,Glitter,Benee,New Zealand
20,Silver,DMA's,Australia
21,Pub Feed,The Chats,Australia
22,Painkiller,Ruel,Australia
23,Earfquake,"Tyler, the Creator",United States
24,Infinity,Ocean Alley,Australia
25,Find an Island,Benee,New Zealand
26,Johnny Run Away,Tones and I,Australia
27,Vossi Bop,Stormzy,United Kingdom
28,Juice,Lizzo,United States
29,Piece of Your Heart,Meduza featuring Goodboys,Italy/United Kingdom
30,Friends,Flume featuring Reo Cragun,Australia/United States
31,Save It for the Weekend,Skegss,Australia
32,Money,Lime Cordiale,Australia
33,San Frandisco,Dom Dolla,Australia
34,Tokyo Drifting,Glass Animals featuring Denzel Curry,United Kingdom/United States
35,Bury a Friend,Billie Eilish,United States
36,Solid Gold,Pnau featuring Kira Divine and Marques Toliver,Australia/United States
37,Red Light Green Light,Duke Dumont featuring Shaun Ross,United Kingdom/United States
38,Face to Face,Ruel,Australia
39,Longshot,Catfish and the Bottlemen,United Kingdom
40,Graveyard,Halsey,United States
41,Highest in the Room,Travis Scott,United States
42,Robbery,Juice Wrld,United States
43,It Might Be Time,Tame Impala,Australia
44,Cool as Hell,Baker Boy,Australia
45,Ricky,Denzel Curry,United States
46,7 Minutes,Dean Lewis,Australia
47,Sugar,Brockhampton,United States
48,Intentions (22),Ziggy Alberts,Australia
49,Free Time,Ruel,Australia
50,Teach Me About Dying,Holy Holy,Australia
51,Evil Spider,Benee,New Zealand
52,Patience,Tame Impala,Australia
53,You Little Beauty,Fisher,Australia
54,Stained Glass,Ocean Alley,Australia
55,Talk,Khalid featuring Disclosure,United States/United Kingdom
56,Middle Child,J. Cole,United States
57,Jellyfish,Slowly Slowly,Australia
58,Lover,G Flip,Australia
59,Nobody's Home,Mallrat and Basenji,Australia
60,I Missed Out,Hockey Dad,Australia
61,Maybe You Know,Holy Holy,Australia
62,Hell n Back,Bakar,United Kingdom
63,Nightmare,Halsey,United States
64,Circles,George Alice,Australia
65,Homecoming Queen,Thelma Plum,Australia
66,Stupid,G Flip,Australia
67,Wish You Were Gay,Billie Eilish,United States
68,Then What,Illy,Australia
69,Vacation Forever,Violent Soho,Australia
70,Talk Deep,E^ST,Australia
71,Blinding Lights,The Weeknd,Canada
72,Pasta,Angie McMahon,Australia
73,Party Pill,Cub Sport,Australia
74,Nowhere to Go,Hayden James featuring Naations,Australia
75,Paradise,Golden Features and The Presets,Australia
76,Something Tells Me,Meg Mac,Australia
77,I Am Not Afraid,G Flip,Australia
78,Not Angry Anymore,Thelma Plum,Australia
79,Stay Awake,Dean Lewis,Australia
80,Good for You,Spacey Jane,Australia
81,Let You Know,Flume featuring London Grammar,Australia/United Kingdom
82,Sugar,Peking Duk and Jack River,Australia
83,Welcome to the Black Parade (Like a Version),Alex Lahey,Australia
84,Hey You,Dope Lemon,Australia
85,Doin' Time,Lana Del Rey,United States
86,Unsainted,Slipknot,United States
87,Follow God,Kanye West,United States
88,Lose Control,"Meduza, Becky Hill and Goodboys",Italy/United Kingdom
89,Final Form,Sampa the Great,Zambia/Australia
90,Here Comes Your Man (Like a Version),Skegss,Australia
91,All the Good Girls Go to Hell,Billie Eilish,United States
92,The Real Thing,Client Liaison,Australia
93,Wow,Post Malone,United States
94,Protection,Allday,Australia
95,A.O.K.,Adrian Eagle,Australia
96,Ludens,Bring Me the Horizon,United Kingdom
97,Skin,San Cisco,Australia
98,Meditjin,Baker Boy featuring JessB,Australia/New Zealand
99,C.U.D.I. (Can U Dig It),Cosmo's Midnight,Australia
100,No Plans,Dune Rats,Australia
